Корневой ИД заявки,ИД версии заявки,Номер заявки,Дата создания заявки в формате Timezone,Дата начала действия версии заявки в формате Timezone,Признак инцидента,Корневой идентификатор категории дефекта,Код категории дефекта,Идентификатор дефекта,Признак дефекта возврата на доработку,"Наименование категории срочности: Аварийная, Обычная",Наименование округа,Код округа,Наименование района,Код района,Наименование статуса заявки,Идентификатор корневой версии вида выполненных работ,Идентификатор корневой версии охранных мероприятий,Результативность,Кол-во возвратов на доработку,Дата закрытия,Отзыв,Оценка качества выполнения работ,Код оценки качества выполнения ра
73418376,73422501,00002556/21,2021-01-01 12:28:51.025138+03,2021-01-01 13:59:10.635962+03,Нет,1594,,1618,Да,Обычная,ЗАО,800,Можайский,809,Закрыта,15420,,Оказана консультация,,2021-01-01 13:59:10.635962+03,,,
73418384,73422392,00002557/21,2021-01-01 12:29:01.593897+03,2021-01-01 13:57:05.401549+03,Нет,1597,,2234,Нет,Обычная,ВАО,400,Преображенское,415,Закрыта,15213,,Выполнено,,2021-01-01 13:57:05.401549+03,,,
73418387,73419301,00002558/21,2021-01-01 12:29:04.780008+03,2021-01-01 12:50:06.106064+03,Нет,59,,1822,Нет,Аварийная,САО,200,Левобережный,211,Закрыта,15420,,Оказана консультация,,2021-01-01 12:50:06.106064+03,,,
73418389,73418688,00002559/21,2021-01-01 12:29:06.361861+03,2021-01-01 12:36:43.244038+03,Нет,51,,1771,Нет,Обычная,ЮВАО,500,Марьино,509,Закрыта,15142,,Выполнено,,2021-01-01 12:36:43.244038+03,,,
73418393,73422423,00002560/21,2021-01-01 12:29:09.55648+03,2021-01-01 13:57:40.434654+03,Нет,1594,,1618,Да,Обычная,ЗАО,800,Можайский,809,Закрыта,15420,,Оказана консультация,,2021-01-01 13:57:40.434654+03,,,
73418399,73427036,00002561/21,2021-01-01 12:29:14.156939+03,2021-01-01 15:29:00.170486+03,Нет,51,,1777,Да,Обычная,ВАО,400,Гольяново,406,Закрыта,15362,,Выполнено,,2021-01-01 15:29:00.170486+03,,,
73418400,73509610,00002562/21,2021-01-01 12:29:21.651755+03,2021-01-03 14:00:36.948146+03,Нет,1597,,2234,Нет,Обычная,ЮВАО,500,Южнопортовый,515,Закрыта,15213,,Выполнено,,2021-01-01 14:10:48.935986+03,Работы выполнены,Хорошо,good
73418402,73419756,00002563/21,2021-01-01 12:29:25.041015+03,2021-01-01 12:59:27.087378+03,Нет,54,,2107,Да,Обычная,СВАО,300,Бутырский,305,Закрыта,14979,,Оказана консультация,,2021-01-01 12:59:27.087378+03,,,
73418408,73423249,00002564/21,2021-01-01 12:29:34.995112+03,2021-01-01 14:13:49.906703+03,Нет,49,winter_works,2203,Нет,Обычная,ЦАО,100,Мещанский,105,Закрыта,15321,,Выполнено,,2021-01-01 14:13:49.906703+03,,,
73418417,73418633,00002565/21,2021-01-01 12:29:48.370747+03,2021-01-01 12:35:32.05989+03,Нет,1595,,2209,Нет,Аварийная,СВАО,300,Бабушкинский,303,Закрыта,18262,,Оказана консультация,,2021-01-01 12:35:32.05989+03,,,
73418418,73422016,00002566/21,2021-01-01 12:29:49.04457+03,2021-01-01 13:48:22.565139+03,Нет,1594,,1910,Нет,Аварийная,ЦАО,100,Пресненский,106,Закрыта,15529,15378,Выполнено,,2021-01-01 13:48:22.565139+03,,,
73418419,73419438,00002567/21,2021-01-01 12:29:50.786776+03,2021-01-01 12:53:05.264179+03,Нет,1597,,2234,Нет,Обычная,ЮЗАО,700,Южное Бутово,711,Закрыта,15213,,Выполнено,,2021-01-01 12:53:05.264179+03,,,
73418422,73420381,00002568/21,2021-01-01 12:29:54.667228+03,2021-01-01 13:12:15.306306+03,Нет,53,,1718,Нет,Обычная,ЗАО,800,Филевский Парк,818,Закрыта,15444,,Выполнено,,2021-01-01 13:12:15.306306+03,,,
73418423,73427363,00002569/21,2021-01-01 12:29:57.026515+03,2021-01-01 15:35:44.837091+03,Нет,1594,,2229,Нет,Аварийная,ЗАО,800,Тропарево-Никулино,817,Закрыта,15386,18346,Выполнено,,2021-01-01 15:35:44.837091+03,,,
73418426,73419593,00002570/21,2021-01-01 12:29:59.281705+03,2021-01-01 12:56:14.611137+03,Нет,50,,2283,Нет,Аварийная,ЮЗАО,700,Теплый Стан,709,Закрыта,15420,"15102,18311",Оказана консультация,,2021-01-01 12:56:14.611137+03,,,
73418428,73420750,00002571/21,2021-01-01 12:30:01.537909+03,2021-01-01 13:19:44.294829+03,Нет,59,,4328,Нет,Обычная,САО,200,Восточное Дегунино,206,Закрыта,15513,,Выполнено,,2021-01-01 13:19:44.294829+03,,,
73418429,73420155,00002572/21,2021-01-01 12:30:02.193908+03,2021-01-01 13:07:38.392392+03,Нет,49,winter_works,2203,Нет,Обычная,СВАО,300,Лосиноостровский,307,Закрыта,18256,,Оказана консультация,,2021-01-01 13:07:38.392392+03,,,
73418431,73514730,00002573/21,2021-01-01 12:30:02.868036+03,2021-01-03 15:00:41.812118+03,Нет,1597,,2234,Нет,Обычная,СВАО,300,Бабушкинский,303,Закрыта,15213,,Выполнено,,2021-01-01 14:11:18.196406+03,Работы выполнены,Хорошо,good
73418448,73509609,00002574/21,2021-01-01 12:30:32.109036+03,2021-01-03 14:00:36.552086+03,Нет,1594,,2229,Нет,Аварийная,СВАО,300,Бутырский,305,Закрыта,15420,,Оказана консультация,,2021-01-01 12:54:58.846039+03,,,
73418451,73426951,00002575/21,2021-01-01 12:30:38.994851+03,2021-01-01 15:27:13.195884+03,Нет,1595,,2196,Да,Обычная,СВАО,300,Ростокино,312,Закрыта,14940,,Выполнено,,2021-01-01 15:27:13.195884+03,,,
73418464,73422197,00002576/21,2021-01-01 12:30:55.897996+03,2021-01-01 13:52:46.416372+03,Нет,1594,,1664,Да,Обычная,СВАО,300,Останкинский,310,Закрыта,15420,,Оказана консультация,,2021-01-01 13:52:46.416372+03,,,
73418476,73509607,00002577/21,2021-01-01 12:31:20.432061+03,2021-01-03 14:00:36.120822+03,Нет,59,,1974,Да,Обычная,ВАО,400,Гольяново,406,Закрыта,15523,,Выполнено,,2021-01-01 19:12:41.134968+03,Работы выполнены,Удовлетворительно,neutral
73418477,73509606,00002578/21,2021-01-01 12:31:20.788408+03,2021-01-03 14:00:35.672816+03,Нет,1597,,2234,Нет,Обычная,ЗАО,800,Солнцево,816,Закрыта,15213,,Выполнено,,2021-01-01 14:50:00.472127+03,,,
73418480,73515044,00002579/21,2021-01-01 12:31:23.826368+03,2021-01-03 15:05:16.281839+03,Нет,54,,2416,Да,Обычная,ЮЗАО,700,Южное Бутово,711,Закрыта,14979,,Оказана консультация,,2021-01-01 12:50:49.076162+03,Работы выполнены,Удовлетворительно,neutral
73418481,73509605,00002580/21,2021-01-01 12:31:24.146378+03,2021-01-03 14:00:35.246587+03,Нет,1595,,2222,Да,Обычная,ЮАО,600,Бирюлево Восточное,606,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 13:38:10.394147+03,Работы выполнены,Хорошо,good
73418483,73422240,00002581/21,2021-01-01 12:31:32.963307+03,2021-01-01 13:53:37.366798+03,Нет,1597,,2234,Нет,Обычная,ЮАО,600,Нагорный,615,Закрыта,15213,,Выполнено,,2021-01-01 13:53:37.366798+03,,,
73418485,73418583,00002582/21,2021-01-01 12:31:33.747397+03,2021-01-01 12:33:52.84448+03,Нет,49,winter_works,2203,Нет,Обычная,ЮЗАО,700,Теплый Стан,709,Закрыта,18256,,Оказана консультация,,2021-01-01 12:33:52.84448+03,,,
73418487,73509601,00002583/21,2021-01-01 12:31:34.257398+03,2021-01-03 14:00:34.820699+03,Нет,51,,1777,Да,Обычная,ЮАО,600,Нагатино-Садовники,613,Закрыта,15785,,Выполнено,,2021-01-01 13:56:22.405523+03,Работы выполнены,Хорошо,good
73418491,73419533,00002584/21,2021-01-01 12:31:43.131064+03,2021-01-01 12:55:03.874386+03,Нет,49,winter_works,3392,Нет,Обычная,СВАО,300,Алтуфьевский,302,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:55:03.874386+03,,,
73418498,73510783,00002585/21,2021-01-01 12:31:55.85368+03,2021-01-03 14:15:06.691061+03,Да,53,,1718,Нет,Обычная,ЮВАО,500,Кузьминки,506,Закрыта,15444,,Выполнено,,2021-01-01 18:27:43.12569+03,Работы выполнены,Удовлетворительно,neutral
73418500,73510784,00002586/21,2021-01-01 12:31:57.199071+03,2021-01-03 14:15:06.691061+03,Нет,53,,1718,Нет,Обычная,ЮВАО,500,Кузьминки,506,Закрыта,15444,,Выполнено,,2021-01-01 18:27:43.12569+03,Работы не выполнены,Плохо,bad
73418503,73514742,00002588/21,2021-01-01 12:32:01.506327+03,2021-01-03 15:00:45.478132+03,Нет,49,winter_works,2203,Нет,Обычная,ЗАО,800,Солнцево,816,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:49:19.923049+03,,,
73418504,73509599,00002587/21,2021-01-01 12:32:01.510286+03,2021-01-03 14:00:34.028651+03,Нет,49,winter_works,3391,Нет,Обычная,ЮАО,600,Царицыно,618,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:32:25.836739+03,Работы не выполнены,Плохо,bad
73418514,73418543,00002589/21,2021-01-01 12:32:14.541527+03,2021-01-01 12:32:51.171318+03,Нет,49,winter_works,2203,Нет,Обычная,ЮВАО,500,Кузьминки,506,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:32:51.171318+03,,,
73418517,73514745,00002590/21,2021-01-01 12:32:16.398708+03,2021-01-03 15:00:46.813831+03,Нет,1597,,2234,Нет,Обычная,ЮАО,600,Орехово-Борисово Южное,617,Закрыта,15213,,Выполнено,,2021-01-01 13:12:20.194829+03,Работы выполнены,Хорошо,good
73418519,73432704,00002591/21,2021-01-01 12:32:22.500361+03,2021-01-01 17:31:00.763217+03,Нет,57,,2017,Да,Обычная,ЦАО,100,Тверской,108,Закрыта,15513,,Выполнено,,2021-01-01 17:31:00.763217+03,,,
73418521,73493740,00002592/21,2021-01-01 12:32:25.248651+03,2021-01-03 10:39:36.004951+03,Нет,1594,,2289,Нет,Обычная,САО,200,Бескудниковский,203,Закрыта,18254,,Не выполнено по инициативе жителя,,2021-01-03 10:39:36.004951+03,,,
73418532,73509598,00002593/21,2021-01-01 12:32:42.362481+03,2021-01-03 14:00:33.60805+03,Нет,1594,,2299,Нет,Обычная,ЮЗАО,700,Гагаринский,702,Закрыта,15420,15404,Оказана консультация,,2021-01-01 13:35:01.558743+03,Работы не выполнены,Плохо,bad
73418541,73421146,00002594/21,2021-01-01 12:32:51.023383+03,2021-01-01 13:29:44.994165+03,Нет,1597,,2234,Нет,Обычная,ВАО,400,Косино-Ухтомский,409,Закрыта,15213,,Выполнено,,2021-01-01 13:29:44.994165+03,,,
73418542,73509597,00002595/21,2021-01-01 12:32:51.088032+03,2021-01-03 14:00:33.218062+03,Нет,1594,,2231,Нет,Аварийная,ЮАО,600,Зябликово,611,Закрыта,15420,18426,Оказана консультация,,2021-01-01 13:54:08.131041+03,Работы выполнены,Хорошо,good
73418545,73509596,00002596/21,2021-01-01 12:32:55.016317+03,2021-01-03 14:00:32.828497+03,Нет,49,winter_works,2203,Нет,Обычная,СВАО,300,Северное Медведково,314,Закрыта,14979,,Оказана консультация,,2021-01-01 12:50:06.316048+03,Работы не выполнены,Плохо,bad
73418546,73423436,00002597/21,2021-01-01 12:32:56.602018+03,2021-01-01 14:17:43.31268+03,Нет,1597,,2234,Нет,Обычная,СВАО,300,Северный,315,Закрыта,15213,,Выполнено,,2021-01-01 14:17:43.31268+03,,,
73418550,73418563,00002598/21,2021-01-01 12:32:58.506136+03,2021-01-01 12:33:18.470772+03,Нет,49,winter_works,3391,Нет,Обычная,ЮВАО,500,Кузьминки,506,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:33:18.470772+03,,,
73418552,73419926,00002599/21,2021-01-01 12:32:59.648942+03,2021-01-01 13:02:49.35807+03,Нет,50,,2283,Нет,Аварийная,СВАО,300,Бибирево,304,Закрыта,18249,15102,Оказана консультация,,2021-01-01 13:02:49.35807+03,,,
73418562,73420843,00002600/21,2021-01-01 12:33:18.142125+03,2021-01-01 13:22:11.129622+03,Нет,1597,,2234,Нет,Обычная,ЮВАО,500,Люблино,508,Закрыта,15213,,Выполнено,,2021-01-01 13:22:11.129622+03,,,
73418575,73418659,00002601/21,2021-01-01 12:33:43.384706+03,2021-01-01 12:36:02.931128+03,Нет,49,winter_works,3392,Нет,Обычная,ЮЗАО,700,Южное Бутово,711,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:36:02.931128+03,,,
73418576,73418685,00002602/21,2021-01-01 12:33:44.234063+03,2021-01-01 12:36:39.9815+03,Нет,60,,2098,Да,Обычная,ЮВАО,500,Рязанский,513,Закрыта,14979,,Оказана консультация,,2021-01-01 12:36:39.9815+03,,,
73418580,73418601,00002603/21,2021-01-01 12:33:51.029481+03,2021-01-01 12:34:22.201135+03,Нет,49,winter_works,3392,Нет,Обычная,СВАО,300,Отрадное,311,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:34:22.201135+03,,,
73418589,73420209,00002604/21,2021-01-01 12:33:59.388077+03,2021-01-01 13:08:34.135007+03,Нет,51,,1777,Да,Обычная,ВАО,400,Вешняки,404,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 13:08:34.135007+03,,,
73418590,73509594,00002605/21,2021-01-01 12:34:01.586594+03,2021-01-03 14:00:32.406038+03,Нет,59,,2149,Да,Обычная,СЗАО,900,Строгино,905,Закрыта,15170,15378,Выполнено,,2021-01-01 13:37:43.425394+03,,,
73418596,73420967,00002606/21,2021-01-01 12:34:13.039755+03,2021-01-01 13:25:32.65426+03,Нет,51,,1777,Да,Обычная,ВАО,400,Гольяново,406,Закрыта,18319,,Выполнено,,2021-01-01 13:25:32.65426+03,,,
73418597,73509593,00002607/21,2021-01-01 12:34:14.473926+03,2021-01-03 14:00:31.991035+03,Нет,1597,,2234,Нет,Обычная,ВАО,400,Новокосино,412,Закрыта,15213,,Выполнено,,2021-01-01 13:51:52.21731+03,,Плохо,bad
73418602,73423638,00002608/21,2021-01-01 12:34:22.50875+03,2021-01-01 14:22:24.055684+03,Нет,1594,,4094,Нет,Аварийная,СВАО,300,Бутырский,305,Закрыта,15420,15378,Оказана консультация,,2021-01-01 14:22:24.055684+03,,,
73418610,73419214,00002609/21,2021-01-01 12:34:40.164036+03,2021-01-01 12:48:19.546824+03,Нет,45,,1876,Да,Обычная,ЮЗАО,700,Теплый Стан,709,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:48:19.546824+03,,,
73418612,73422782,00002610/21,2021-01-01 12:34:41.022029+03,2021-01-01 14:04:21.109951+03,Нет,1594,,2229,Нет,Аварийная,ВАО,400,Восточное Измайлово,405,Закрыта,15320,15378,Выполнено,,2021-01-01 14:04:21.109951+03,,,
73418613,73514740,00002611/21,2021-01-01 12:34:45.203164+03,2021-01-03 15:00:44.652202+03,Нет,59,,1822,Нет,Аварийная,СВАО,300,Лосиноостровский,307,Закрыта,15420,15404,Оказана консультация,,2021-01-01 13:56:46.119364+03,Работы не выполнены,Плохо,bad
73418616,73509591,00002612/21,2021-01-01 12:35:01.234746+03,2021-01-03 14:00:31.57705+03,Нет,1597,,2234,Нет,Обычная,САО,200,Бескудниковский,203,Закрыта,15213,,Выполнено,,2021-01-01 17:05:50.386182+03,,,
73418619,73519327,00002613/21,2021-01-01 12:35:04.213043+03,2021-01-03 16:05:29.88067+03,Нет,1594,,4094,Нет,Аварийная,ЮАО,600,Нагатино-Садовники,613,Закрыта,15779,15378,Выполнено,,2021-01-01 13:07:25.896116+03,Работы выполнены,Хорошо,good
73418623,73439331,00002614/21,2021-01-01 12:35:10.557096+03,2021-01-01 20:25:48.681137+03,Нет,53,,1718,Нет,Обычная,САО,200,Хорошевский,217,Закрыта,15767,,Выполнено,,2021-01-01 20:25:48.681137+03,,,
73418635,73509589,00002615/21,2021-01-01 12:35:33.338074+03,2021-01-03 14:00:31.18303+03,Нет,1597,,2234,Нет,Обычная,ЮВАО,500,Нижегородский,510,Закрыта,15213,,Выполнено,,2021-01-01 13:59:52.112193+03,Работы выполнены,Хорошо,good
73418639,73513007,00002616/21,2021-01-01 12:35:40.212198+03,2021-01-03 14:40:24.556445+03,Нет,53,,2297,Нет,Обычная,САО,200,Головинский,207,Закрыта,15313,,Выполнено,,2021-01-01 19:40:16.337228+03,,,
73418641,73420263,00002617/21,2021-01-01 12:35:42.142955+03,2021-01-01 13:09:41.606519+03,Нет,1597,,2234,Нет,Обычная,СВАО,300,Ярославский,317,Закрыта,15213,,Выполнено,,2021-01-01 13:09:41.606519+03,,,
73418645,73418661,00002618/21,2021-01-01 12:35:51.96394+03,2021-01-01 12:36:05.814298+03,Нет,49,winter_works,2203,Нет,Обычная,ЮАО,600,Царицыно,618,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:36:05.814298+03,,,
73418647,73425348,00002619/21,2021-01-01 12:35:52.538015+03,2021-01-01 14:53:51.14894+03,Нет,51,,1777,Да,Обычная,СВАО,300,Останкинский,310,Закрыта,18361,,Выполнено,,2021-01-01 14:53:51.14894+03,,,
73418650,73420647,00002620/21,2021-01-01 12:35:53.826594+03,2021-01-01 13:17:24.643042+03,Нет,49,winter_works,3392,Нет,Обычная,ЮАО,600,Нагорный,615,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 13:17:24.643042+03,,,
73418651,73425767,00002621/21,2021-01-01 12:35:55.782308+03,2021-01-01 15:02:33.758929+03,Нет,59,,2273,Да,Обычная,ЗАО,800,Фили-Давыдково,819,Закрыта,"14955,15745",15378,Выполнено,,2021-01-01 15:02:33.758929+03,,,
73418656,73425367,00002622/21,2021-01-01 12:36:00.458811+03,2021-01-01 14:54:21.935295+03,Нет,54,,2414,Да,Обычная,ВАО,400,Гольяново,406,Закрыта,15420,15378,Оказана консультация,,2021-01-01 14:54:21.935295+03,,,
73418662,73419633,00002623/21,2021-01-01 12:36:06.235396+03,2021-01-01 12:57:06.315441+03,Нет,50,,1964,Нет,Обычная,ВАО,400,Сокольники,418,Закрыта,14979,,Оказана консультация,,2021-01-01 12:57:06.315441+03,,,
73418666,73421302,00002624/21,2021-01-01 12:36:15.942665+03,2021-01-01 13:33:23.915121+03,Нет,1594,,2298,Нет,Обычная,ЮЗАО,700,Теплый Стан,709,Закрыта,15444,,Выполнено,,2021-01-01 13:33:23.915121+03,,,
73418670,73514739,00002625/21,2021-01-01 12:36:22.07311+03,2021-01-03 15:00:44.242059+03,Нет,49,winter_works,3391,Нет,Обычная,СВАО,300,Северное Медведково,314,Закрыта,14979,,Оказана консультация,,2021-01-01 13:11:22.05505+03,Работы выполнены,Хорошо,good
73418674,73509588,00002626/21,2021-01-01 12:36:27.862259+03,2021-01-03 14:00:30.763672+03,Нет,59,,1822,Нет,Аварийная,ЮЗАО,700,Зюзино,703,Закрыта,15420,15404,Оказана консультация,,2021-01-01 13:44:40.058264+03,Работы выполнены,Хорошо,good
73418680,73421918,00002627/21,2021-01-01 12:36:35.218384+03,2021-01-01 13:46:08.895349+03,Нет,59,,4328,Нет,Обычная,САО,200,Ховрино,216,Закрыта,15513,,Выполнено,,2021-01-01 13:46:08.895349+03,,,
73418687,73419529,00002628/21,2021-01-01 12:36:42.445297+03,2021-01-01 12:55:01.456091+03,Нет,51,,1771,Нет,Обычная,СЗАО,900,Строгино,905,Закрыта,15142,,Выполнено,,2021-01-01 12:55:01.456091+03,,,
73418690,73424139,00002629/21,2021-01-01 12:36:44.987423+03,2021-01-01 14:31:54.524231+03,Нет,1597,,2393,Нет,Обычная,СВАО,300,Ярославский,317,Закрыта,15598,,Выполнено,,2021-01-01 14:31:54.524231+03,,,
73418691,73430807,00002630/21,2021-01-01 12:36:45.74104+03,2021-01-01 16:49:20.311987+03,Нет,1597,,2234,Нет,Обычная,САО,200,Головинский,207,Закрыта,15213,,Выполнено,,2021-01-01 16:49:20.311987+03,,,
73418694,73513006,00002631/21,2021-01-01 12:36:50.795064+03,2021-01-03 14:40:24.556445+03,Нет,53,,2297,Нет,Обычная,САО,200,Головинский,207,Закрыта,15313,,Выполнено,,2021-01-01 19:40:16.337228+03,,,
73418696,73425733,00002632/21,2021-01-01 12:36:52.530184+03,2021-01-01 15:02:07.831182+03,Нет,53,,2297,Нет,Обычная,САО,200,Беговой,202,Закрыта,15910,,Выполнено,,2021-01-01 15:02:07.831182+03,,,
73418703,73423298,00002633/21,2021-01-01 12:37:08.423671+03,2021-01-01 14:14:57.545121+03,Нет,1597,,2393,Нет,Обычная,ЮАО,600,Царицыно,618,Закрыта,"15317,15598",,Выполнено,,2021-01-01 14:14:57.545121+03,,,
73418704,73436888,00002634/21,2021-01-01 12:37:08.814069+03,2021-01-01 19:12:44.402088+03,Нет,1595,,1925,Нет,Обычная,ВАО,400,Восточное Измайлово,405,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 19:12:44.402088+03,,,
73418714,73509587,00002635/21,2021-01-01 12:37:13.790344+03,2021-01-03 14:00:30.334227+03,Нет,59,,1822,Нет,Аварийная,ЮАО,600,Нагатино-Садовники,613,Закрыта,"15170,15514",15404,Выполнено,,2021-01-01 13:14:13.985754+03,Работы выполнены,Хорошо,good
73418715,73509585,00002636/21,2021-01-01 12:37:14.942481+03,2021-01-03 14:00:29.924041+03,Нет,54,,2414,Да,Обычная,СВАО,300,Марьина Роща,309,Закрыта,15398,,Выполнено,,2021-01-01 14:54:58.56808+03,,,
73418718,73421936,00002637/21,2021-01-01 12:37:17.330077+03,2021-01-01 13:46:30.389649+03,Нет,59,,2279,Нет,Аварийная,ЮЗАО,700,Зюзино,703,Закрыта,15420,,Оказана консультация,,2021-01-01 13:46:30.389649+03,,,
73418719,73509584,00002638/21,2021-01-01 12:37:19.074462+03,2021-01-03 14:00:29.54415+03,Нет,1595,,2093,Нет,Аварийная,САО,200,Савеловский,213,Закрыта,"15529,18301",,Выполнено,,2021-01-01 13:26:30.562232+03,Работы выполнены,Хорошо,good
73418725,73514720,00002639/21,2021-01-01 12:37:23.769054+03,2021-01-03 15:00:36.321192+03,Нет,53,,2297,Нет,Обычная,СВАО,300,Отрадное,311,Закрыта,18268,,Оказана консультация,,2021-01-01 15:13:41.036269+03,Работы выполнены,Удовлетворительно,neutral
73418730,73509583,00002640/21,2021-01-01 12:37:34.760543+03,2021-01-03 14:00:29.160147+03,Нет,49,winter_works,3391,Нет,Обычная,ЗАО,800,Проспект Вернадского,814,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:43:28.608992+03,,,
73418740,73420846,00002641/21,2021-01-01 12:37:53.340413+03,2021-01-01 13:22:14.886777+03,Нет,53,,1718,Нет,Обычная,ЦАО,100,Красносельский,104,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 13:22:14.886777+03,,,
73418741,73519024,00002642/21,2021-01-01 12:37:53.564523+03,2021-01-03 16:00:40.202951+03,Нет,59,,2150,Да,Обычная,ВАО,400,Соколиная Гора,417,Закрыта,15189,,Выполнено,,2021-01-01 13:19:23.00429+03,,,
73418744,73509582,00002643/21,2021-01-01 12:37:56.350789+03,2021-01-03 14:00:28.742095+03,Нет,53,,2297,Нет,Обычная,ЗАО,800,Можайский,809,Закрыта,14980,,Выполнено,,2021-01-01 19:55:48.042633+03,Работы не выполнены,Плохо,bad
73418758,73579604,00002644/21,2021-01-01 12:38:19.193093+03,2021-01-04 16:20:42.36709+03,Нет,48,,1760,Да,Обычная,ЗАО,800,Фили-Давыдково,819,Закрыта,15132,,Выполнено,,2021-01-02 11:46:37.776104+03,Работы не выполнены,Плохо,bad
73418761,73574676,00002645/21,2021-01-01 12:38:22.404048+03,2021-01-04 15:20:40.089833+03,Нет,48,,1759,Да,Обычная,СЗАО,900,Митино,902,Закрыта,15091,,Выполнено,,2021-01-02 10:06:11.476795+03,Работы выполнены,Хорошо,good
73418762,73419553,00002646/21,2021-01-01 12:38:24.808653+03,2021-01-01 12:55:28.298843+03,Нет,59,,1822,Нет,Аварийная,ВАО,400,Вешняки,404,Закрыта,15420,,Оказана консультация,,2021-01-01 12:55:28.298843+03,,,
73418768,73419022,00002647/21,2021-01-01 12:38:31.99045+03,2021-01-01 12:44:15.733733+03,Нет,49,winter_works,3391,Нет,Обычная,ВАО,400,Богородское,403,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:44:15.733733+03,,,
73418780,73421763,00002648/21,2021-01-01 12:38:42.04746+03,2021-01-01 13:43:29.02853+03,Нет,1597,,2234,Нет,Обычная,ЗАО,800,Раменки,815,Закрыта,15213,,Выполнено,,2021-01-01 13:43:29.02853+03,,,
73418781,73421955,00002649/21,2021-01-01 12:38:45.114202+03,2021-01-01 13:46:56.540248+03,Нет,53,,2387,Да,Обычная,ЮВАО,500,Выхино-Жулебино,504,Закрыта,15549,15378,Выполнено,,2021-01-01 13:46:56.540248+03,,,
73418786,73418824,00002650/21,2021-01-01 12:38:53.172551+03,2021-01-01 12:39:50.818516+03,Нет,49,winter_works,3391,Нет,Обычная,ЮАО,600,Чертаново Центральное,620,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:39:50.818516+03,,,
73418793,73420595,00002651/21,2021-01-01 12:39:06.882582+03,2021-01-01 13:16:33.167066+03,Нет,49,winter_works,3391,Нет,Обычная,ЗАО,800,Можайский,809,Закрыта,18256,,Оказана консультация,,2021-01-01 13:16:33.167066+03,,,
73418794,73418827,00002652/21,2021-01-01 12:39:07.270009+03,2021-01-01 12:39:57.119159+03,Нет,49,winter_works,3391,Нет,Обычная,ЮАО,600,Бирюлево Западное,607,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 12:39:57.119159+03,,,
73418798,73425249,00002653/21,2021-01-01 12:39:11.649085+03,2021-01-01 14:52:13.147051+03,Нет,49,winter_works,2203,Нет,Обычная,ЮВАО,500,Рязанский,513,Закрыта,"15040,15054",,Выполнено,,2021-01-01 14:52:13.147051+03,,,
73418805,73509580,00002654/21,2021-01-01 12:39:23.711752+03,2021-01-03 14:00:28.297066+03,Нет,1594,,2157,Нет,Аварийная,ВАО,400,Северное Измайлово,416,Закрыта,15288,15378,Выполнено,,2021-01-01 16:24:41.650437+03,Работы выполнены,Хорошо,good
73418813,73509579,00002655/21,2021-01-01 12:39:36.889205+03,2021-01-03 14:00:27.89394+03,Нет,60,,2098,Да,Обычная,ЮЗАО,700,Ясенево,712,Закрыта,14979,,Оказана консультация,,2021-01-01 13:03:06.469922+03,Работы не выполнены,Плохо,bad
73418819,73519022,00002656/21,2021-01-01 12:39:42.785757+03,2021-01-03 16:00:39.376847+03,Нет,51,,1777,Да,Обычная,ЮАО,600,Нагатино-Садовники,613,Закрыта,15785,,Выполнено,,2021-01-01 13:53:20.139765+03,,,
73418828,73447553,00002657/21,2021-01-01 12:39:59.256306+03,2021-01-02 09:23:15.730808+03,Нет,54,,2107,Да,Обычная,ЦАО,100,Таганский,107,Закрыта,15455,,Выполнено,,2021-01-02 09:23:15.730808+03,,,
73418830,73509578,00002658/21,2021-01-01 12:40:00.649652+03,2021-01-03 14:00:27.50795+03,Нет,1594,,4093,Нет,Обычная,САО,200,Головинский,207,Закрыта,15420,,Оказана консультация,,2021-01-01 13:20:29.985135+03,,,
73418833,73509577,00002659/21,2021-01-01 12:40:06.394942+03,2021-01-03 14:00:27.083897+03,Нет,49,winter_works,2203,Нет,Обычная,ЮЗАО,700,Зюзино,703,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 13:05:50.042739+03,Работы выполнены,Удовлетворительно,neutral
